source,conditionName,url,alsoKnownAs,overviewFile,treatmentFile,treatmentURL
MAYO,Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,"A fib, also known as",Atrial fibrillation_overview.html,Atrial fibrillation,Atrial fibrillation_treatment.html,https://www.mayoclinic.org//diseases-conditions/atrial-fibrillation/diagnosis-treatment/drc-20350630
MAYO,Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,,Abdominal aortic aneurysm_overview.html,Abdominal aortic aneurysm,Abdominal aortic aneurysm_treatment.html,https://www.mayoclinic.org//diseases-conditions/abdominal-aortic-aneurysm/diagnosis-treatment/drc-20350693
MAYO,Hyperhidrosis,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152,"Abnormally excessive sweating, also known as",Hyperhidrosis_overview.html,Hyperhidrosis,Hyperhidrosis_treatment.html,https://www.mayoclinic.org//diseases-conditions/hyperhidrosis/diagnosis-treatment/drc-20367173
MAYO,Bartholin's cyst,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976,"Abscess, Bartholin's, also known as",Bartholin's cyst_overview.html,Bartholin's cyst,Bartholin's cyst_treatment.html,https://www.mayoclinic.org//diseases-conditions/bartholin-cyst/diagnosis-treatment/drc-20369981
MAYO,Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,,Absence seizure_overview.html,Absence seizure,Absence seizure_treatment.html,https://www.mayoclinic.org//diseases-conditions/petit-mal-seizure/diagnosis-treatment/drc-20359734
MAYO,Separated shoulder,https://www.mayoclinic.org/diseases-conditions/separated-shoulder/symptoms-causes/syc-20354049,"AC joint separation, also known as",Separated shoulder_overview.html,Separated shoulder,Separated shoulder_treatment.html,https://www.mayoclinic.org//diseases-conditions/separated-shoulder/diagnosis-treatment/drc-20354054
MAYO,Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,,Acanthosis nigricans_overview.html,Acanthosis nigricans,Acanthosis nigricans_treatment.html,https://www.mayoclinic.org//diseases-conditions/acanthosis-nigricans/diagnosis-treatment/drc-20368987
MAYO,Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,,Achalasia_overview.html,Achalasia,Achalasia_treatment.html,https://www.mayoclinic.org//diseases-conditions/achalasia/diagnosis-treatment/drc-20352851
MAYO,Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,,Achilles tendinitis_overview.html,Achilles tendinitis,Achilles tendinitis_treatment.html,https://www.mayoclinic.org//diseases-conditions/achilles-tendinitis/diagnosis-treatment/drc-20369025
MAYO,Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,,Achilles tendon rupture_overview.html,Achilles tendon rupture,Achilles tendon rupture_treatment.html,https://www.mayoclinic.org//diseases-conditions/achilles-tendon-rupture/diagnosis-treatment/drc-20353239
MAYO,Gastroesophageal reflux disease (GERD),https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940,"Acid reflux, also known as",Gastroesophageal reflux disease (GERD)_overview.html,Gastroesophageal reflux disease (GERD),Gastroesophageal reflux disease (GERD)_treatment.html,https://www.mayoclinic.org//diseases-conditions/gerd/diagnosis-treatment/drc-20361959
MAYO,Infant reflux,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,"Acid reflux, infant, also known as",Infant reflux_overview.html,Infant reflux,Infant reflux_treatment.html,https://www.mayoclinic.org//diseases-conditions/infant-acid-reflux/diagnosis-treatment/drc-20351412
MAYO,ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,,ACL injury_overview.html,ACL injury,ACL injury_treatment.html,https://www.mayoclinic.org//diseases-conditions/acl-injury/diagnosis-treatment/drc-20350744
MAYO,Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,,Acne_overview.html,Acne,Acne_treatment.html,https://www.mayoclinic.org//diseases-conditions/acne/diagnosis-treatment/drc-20368048
MAYO,Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,,Acoustic neuroma_overview.html,Acoustic neuroma,Acoustic neuroma_treatment.html,https://www.mayoclinic.org//diseases-conditions/acoustic-neuroma/diagnosis-treatment/drc-20356132
MAYO,HIVAIDS,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,"Acquired immunodeficiency syndrome, also known as",HIVAIDS_overview.html,HIVAIDS,HIVAIDS_treatment.html,https://www.mayoclinic.org//diseases-conditions/hiv-aids/diagnosis-treatment/drc-20373531
MAYO,Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,,Acromegaly_overview.html,Acromegaly,Acromegaly_treatment.html,https://www.mayoclinic.org//diseases-conditions/acromegaly/diagnosis-treatment/drc-20351226
MAYO,Separated shoulder,https://www.mayoclinic.org/diseases-conditions/separated-shoulder/symptoms-causes/syc-20354049,"Acromioclavicular joint separation, also known as",Separated shoulder_overview.html,Separated shoulder,Separated shoulder_treatment.html,https://www.mayoclinic.org//diseases-conditions/separated-shoulder/diagnosis-treatment/drc-20354054
MAYO,Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,,Actinic keratosis_overview.html,Actinic keratosis,Actinic keratosis_treatment.html,https://www.mayoclinic.org//diseases-conditions/actinic-keratosis/diagnosis-treatment/drc-20354975
MAYO,Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,,Acute coronary syndrome_overview.html,Acute coronary syndrome,Acute coronary syndrome_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-coronary-syndrome/diagnosis-treatment/drc-20352140
MAYO,Sweet's syndrome,https://www.mayoclinic.org/diseases-conditions/sweets-syndrome/symptoms-causes/syc-20351117,"Acute febrile neutrophilic dermatosis, also known as",Sweet's syndrome_overview.html,Sweet's syndrome,Sweet's syndrome_treatment.html,https://www.mayoclinic.org//diseases-conditions/sweets-syndrome/diagnosis-treatment/drc-20351122
MAYO,Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,,Acute flaccid myelitis (AFM)_overview.html,Acute flaccid myelitis (AFM),Acute flaccid myelitis (AFM)_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-flaccid-myelitis/diagnosis-treatment/drc-20493060
MAYO,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,"Acute granulocytic leukemia, also known as",Acute myelogenous leukemia_overview.html,Acute myelogenous leukemia,Acute myelogenous leukemia_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115
MAYO,Guillain-Barre syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,"Acute inflammatory demyelinating polyneuropathy, also known as",Guillain-Barre syndrome_overview.html,Guillain-Barre syndrome,Guillain-Barre syndrome_treatment.html,https://www.mayoclinic.org//diseases-conditions/guillain-barre-syndrome/diagnosis-treatment/drc-20363006
MAYO,Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,,Acute kidney failure_overview.html,Acute kidney failure,Acute kidney failure_treatment.html,https://www.mayoclinic.org//diseases-conditions/kidney-failure/diagnosis-treatment/drc-20369053
MAYO,Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,,Acute liver failure_overview.html,Acute liver failure,Acute liver failure_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-liver-failure/diagnosis-treatment/drc-20352868
MAYO,Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,"Acute lymphoblastic leukemia, also known as",Acute lymphocytic leukemia_overview.html,Acute lymphocytic leukemia,Acute lymphocytic leukemia_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083
MAYO,Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,,Acute lymphocytic leukemia_overview.html,Acute lymphocytic leukemia,Acute lymphocytic leukemia_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083
MAYO,Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,"Acute lymphoid leukemia, also known as",Acute lymphocytic leukemia_overview.html,Acute lymphocytic leukemia,Acute lymphocytic leukemia_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083
MAYO,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,"Acute myeloblastic leukemia, also known as",Acute myelogenous leukemia_overview.html,Acute myelogenous leukemia,Acute myelogenous leukemia_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115
MAYO,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,,Acute myelogenous leukemia_overview.html,Acute myelogenous leukemia,Acute myelogenous leukemia_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115
MAYO,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,"Acute myeloid lukemia, also known as",Acute myelogenous leukemia_overview.html,Acute myelogenous leukemia,Acute myelogenous leukemia_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115
MAYO,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,"Acute nonlymphocytic leukemia, also known as",Acute myelogenous leukemia_overview.html,Acute myelogenous leukemia,Acute myelogenous leukemia_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115
MAYO,Radiation sickness,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,"Acute radiation sickness, also known as",Radiation sickness_overview.html,Radiation sickness,Radiation sickness_treatment.html,https://www.mayoclinic.org//diseases-conditions/radiation-sickness/diagnosis-treatment/drc-20377061
MAYO,Radiation sickness,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,"Acute radiation syndrome, also known as",Radiation sickness_overview.html,Radiation sickness,Radiation sickness_treatment.html,https://www.mayoclinic.org//diseases-conditions/radiation-sickness/diagnosis-treatment/drc-20377061
MAYO,Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,"Acute renal failure, also known as",Acute kidney failure_overview.html,Acute kidney failure,Acute kidney failure_treatment.html,https://www.mayoclinic.org//diseases-conditions/kidney-failure/diagnosis-treatment/drc-20369053
MAYO,ARDS,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,"Acute respiratory distress syndrome, also known as",ARDS_overview.html,ARDS,ARDS_treatment.html,https://www.mayoclinic.org//diseases-conditions/ards/diagnosis-treatment/drc-20355581
