snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3
Pain of knee region (finding),1003722009,Knee pain,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"Although study results have been mixed about the effectiveness of this treatment, relief from one or a series of shots may last as long as six months.",MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,correct
Pain of knee region (finding),1003722009,Knee pain,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,You should start to feel better in a few days,NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,correct
Pain of knee region (finding),1003722009,Knee pain,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,But this altered gait can place more stress on your knee joint.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,correct
Allergy to Hevea brasiliensis latex protein (finding),1003755004,Latex allergy,PERMANENT,0.0011520737327188,"Although medications are available to reduce the symptoms of latex allergy, there is no cure.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,correct
Metatarsalgia (finding),10085004,Metatarsalgia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Although generally not serious, metatarsalgia can sideline you.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pc
Infection caused by Schistosoma (disorder),10087007,Schistosomiasis (bilharzia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,"You often don't have any symptoms when you first become infected with schistosomiasis, but the parasite can remain in the body for many years and cause damage to organs such as the bladder, kidneys and liver.",NHS,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Infection caused by Schistosoma (disorder),10087007,Schistosomiasis (bilharzia),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"These symptoms, known as acute schistosomiasis, often get better by themselves within a few weeks",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,ncni
Growing pains (finding),102482005,Growing pains,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,Growing pains often get better on their own within a year or two.,MAYO,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pi
Cyclospora (organism),103560006,Cyclospora,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"If cyclospora isn't treated, the illness may last from a few days to a month or longer.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK,incorrect
Blindness AND/OR vision impairment level (disorder),105597003,Blindness and vision loss,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.005181347150259,"If you're blind or partially sighted, you may be referred to a specialist low-vision clinic, which is often located within a hospital",NHS,0.0009663703131039,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pc
Blindness AND/OR vision impairment level (disorder),105597003,Blindness and vision loss,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"Depending on the size of the company you work for, the grant can pay for 80-100% of costs, up to £10,000.",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pi
Fibrous dysplasia of bone (disorder),10623005,Fibrous dysplasia,PERMANENT,0.0011520737327188,There's no cure for the disorder.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,pi
Family Talpidae (organism),106925002,Moles,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,These changes can happen over weeks or months.,NHS,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pc
Irritable bowel syndrome (disorder),10743008,Irritable bowel syndrome (IBS),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"These tend to come and go over time, and can last for days, weeks or months at a time",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,pi
Irritable bowel syndrome (disorder),10743008,Irritable bowel syndrome (IBS),PERMANENT,0.0023041474654377,It's usually a lifelong problem,NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,,correct
Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102,Thumb arthritis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"After surgery, you can expect to wear a cast or splint over your thumb and wrist for up to six weeks.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pc
Dialysis procedure (procedure),108241001,Dialysis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Someone who starts dialysis in their late 20s can expect to live for up to 20 years or longer, but adults over 75 may only survive for 2 to 3 years.",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Dialysis procedure (procedure),108241001,Dialysis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,Changing the fluid usually takes about 30 to 40 minutes and normally needs to be repeated around 4 times a day.,NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pc
Radiation oncology AND/OR radiotherapy (procedure),108290001,Radiotherapy,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,"You can usually go home soon after external radiotherapy, but you may need to stay in hospital for a few days if you have implants or radioisotope therapy",NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,ncni
Radiation oncology AND/OR radiotherapy (procedure),108290001,Radiotherapy,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Most people have several treatment sessions, which are typically spread over the course of a few weeks.",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Radiation oncology AND/OR radiotherapy (procedure),108290001,Radiotherapy,PERMANENT,0.0011520737327188,relieve symptoms if a cure is not possible (palliative radiotherapy),NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Dislocation of joint (disorder),108367008,Dislocation,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"When treated properly, most dislocations return to normal function after several weeks of rest and rehabilitation.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Dislocation of joint (disorder),108367008,Dislocation,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"For the first day or two, try to do this every couple of hours during the day.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Dislocation of joint (disorder),108367008,Dislocation,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"When treated properly, most dislocations return to normal function after several weeks of rest and rehabilitation.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Dislocation of joint (disorder),108367008,Dislocation,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"For the first day or two, try to do this every couple of hours during the day.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Sclerosing mesenteritis (disorder),1092381000119100,Sclerosing mesenteritis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,But some people experience no signs and symptoms and may never need treatment.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pi
Sclerosing mesenteritis (disorder),1092381000119100,Sclerosing mesenteritis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,But some people experience no signs and symptoms and may never need treatment.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pi
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,Mesothelioma,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,"It usually takes a while for this to cause any obvious problems, with mesothelioma typically developing more than 20 years after exposure to asbestos.",NHS,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pi
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,Mesothelioma,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"There are currently around 2,500 deaths from mesothelioma each year in the UK",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,pi
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,Mesothelioma,PERMANENT,0.0057603686635944,"Unfortunately, it's rarely possible to cure mesothelioma, although treatment can help control the symptoms.",NHS,0.0009663703131039,0.1677618863548511,PERMANENT,,,pi
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,Mesothelioma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,The symptoms of mesothelioma tend to develop gradually over time,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pi
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.0833333333333333,"Known as classic Kaposi's sarcoma, this cancer progresses slowly and typically causes few serious problems.",MAYO,0.0001932740626207,0.0023192887514495,DECLINE,SLOWLY,FROM 6 MONTH TO 1 YEAR,incorrect
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"Unlike other types of Kaposi's sarcoma, the symptoms of classic Kaposi's sarcoma progress very slowly over many years.",NHS,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pi
